"","X_worker_id","X_trust","score","X_channel","X_country","X_region","X_city","X_ip","treatment","received_compliance_q","assigned","complied","treated","pct_score"
"216",45172973,1,1,"feca","VEN","25","Caracas","186.167.242.153","evaluation",0,1,0,0,100
"217",45173038,1,1,"feca","BIH","01","Sarajevo","77.78.237.55","publicgood",0,1,0,0,100
"218",45173060,1,0.9,"clixsense","VEN","25","Caracas","186.167.248.116","control",1,0,0,0,90
"219",45173767,1,0.5,"feca","EGY","11","Cairo","156.216.100.175","publicgood",1,1,0,0,50
"220",45174121,1,0.9,"clixsense","EGY","11","Cairo","154.130.54.86","publicgood",1,1,0,0,90
"221",45174260,1,1,"feca","VEN","07","Valencia","181.208.8.98","evaluation",0,1,0,0,100
"222",45175206,1,1,"feca","EGY","","","41.34.78.128","publicgood",0,1,0,0,100
"223",45175215,1,1,"feca","EGY","","","197.58.221.252","publicgood",0,1,0,0,100
"224",45175251,1,1,"feca","VEN","06","Puerto Ordaz","190.94.230.247","publicgood",0,1,0,0,100
"225",45175751,1,1,"feca","VEN","25","Caracas","186.167.244.95","publicgood",1,1,1,1,100
"226",45176762,0.8333,0.9,"feca","EGY","11","Cairo","196.221.53.219","publicgood",1,1,1,1,90
"227",45178083,1,0.8,"feca","EGY","11","Cairo","197.41.13.113","publicgood",1,1,0,0,80
"228",45178163,1,1,"feca","VEN","","","190.201.29.248","control",0,0,0,0,100
"229",45178413,1,1,"feca","VEN","","","190.36.189.152","evaluation",0,1,0,0,100
"230",45178754,1,1,"feca","IDN","","","36.90.0.204","publicgood",0,1,0,0,100
"231",45179286,1,1,"feca","BRA","04","Boa Vista","192.140.41.203","evaluation",0,1,0,0,100
"232",45179628,1,1,"feca","HND","09","Barra Patuca","181.115.11.75","publicgood",0,1,0,0,100
"233",45179692,1,0.733333333333333,"feca","EGY","","","156.198.202.250","publicgood",1,1,1,1,73.3333333333333
"234",45179934,1,1,"feca","RUS","38","Novorossiysk","109.196.192.140","publicgood",0,1,0,0,100
"235",45180140,0.75,0.883333333333333,"feca","EGY","11","Cairo","41.69.48.196","control",1,0,1,0,88.3333333333333
"236",45181307,1,0.733333333333333,"feca","VEN","","","190.201.191.144","publicgood",1,1,1,1,73.3333333333333
"237",45181825,1,0.933333333333333,"feca","VEN","","","190.76.250.207","control",1,0,0,0,93.3333333333333
"238",45182066,1,1,"feca","VEN","","","190.201.112.25","control",0,0,0,0,100
"239",45183806,1,1,"feca","PER","15","Lima","190.238.75.129","control",0,0,0,0,100
"240",45183928,1,0.8,"feca","RUS","48","Moscow","188.32.23.90","evaluation",1,1,1,1,80
"241",45183963,1,1,"feca","VNM","44","Hanoi","42.114.36.46","evaluation",0,1,0,0,100
"242",45183963,1,0.9,"feca","VNM","44","Hanoi","58.187.163.192","publicgood",0,1,0,0,90
"243",45184006,1,1,"feca","VEN","25","Caracas","186.185.112.54","evaluation",0,1,0,0,100
"244",45184007,1,1,"feca","VNM","44","Hanoi","123.24.181.147","evaluation",0,1,0,0,100
"245",45184007,1,0.75,"feca","VNM","44","Hanoi","123.24.181.147","publicgood",1,1,0,0,75
"246",45184039,0.5,0.7,"feca","EGY","11","Cairo","197.49.172.19","control",1,0,1,0,70
"247",45184085,0.8333,0.9,"feca","SRB","00","Leskovac","178.149.146.148","publicgood",1,1,1,1,90
"248",45184768,1,1,"feca","BRA","27","Sao Paulo","201.27.175.119","evaluation",0,1,0,0,100
"249",45185482,1,1,"feca","VEN","22","San Felipe","200.8.69.105","control",0,0,0,0,100
"250",45185691,1,1,"feca","VEN","","","190.206.195.19","control",0,0,0,0,100
"251",45186102,1,1,"feca","PER","14","Chiclayo","181.67.103.104","control",0,0,0,0,100
"252",45186503,0.9,0.866666666666667,"neodev","VEN","15","Bachaquero","200.93.112.211","control",1,0,1,0,86.6666666666667
"253",45187360,1,1,"feca","IND","13","Ernakulam","137.97.153.212","publicgood",0,1,0,0,100
"254",45189211,1,0.7,"feca","VEN","25","Caracas","201.210.249.87","control",1,0,1,0,70
"255",45189901,1,0.8,"feca","VEN","25","Caracas","186.167.245.111","control",1,0,1,0,80
"256",45190761,1,1,"feca","VEN","04","Maracay","186.92.133.60","evaluation",0,1,0,0,100
"257",45191948,0.5,0.6,"feca","EGY","","","154.238.4.27","publicgood",1,1,1,1,60
